the_geom,Longitude,Latitude,Agent Key,key,Name,Address,City,State,Zip,Outlet Type,Status,Phone,Directions,GlobalID,ObjectID
POINT (-78.167410764205 40.991569593323),-78.16364,41.00287,,,Rachel's Hardware,111 Rollingstone Rad,Kylerstown,PA,16847,F,-1,(814) 281-3818,"https://www.google.com/maps?q=41.00287,-78.16364",{86BB7D3A-CFE8-42F6-80C8-0308F2FF5BE5},21470
POINT (-79.575866773865 40.019140344087),-79.57586677,40.01914034,,5582,GUNSLINGER GUN SHOP LLC,612 SNYDER ST,CONNELLSVILLE,PA,15425,D,-1,(832) 222-9996,"http://maps.google.com/maps?q=40.01914034,-79.57586677",{81E0D0C2-D66D-4300-997F-E01B6F32D53F},21379
POINT (-79.136200407703 39.918836580668),-79.13620041,39.91883658,1331,2204,HOOVERS OUTFITTING,2099 GARRETT RD,ROCKWOOD,PA,15557,D,-1,(738) 549-4899,"http://maps.google.com/maps?q=39.91883658,-79.13620041",{3E5E1D54-CC5A-42D9-863D-5FC1E6E39E24},16849
POINT (-79.425694170838 40.283744480102),-79.42569417,40.28374448,,5575,PETE'S FIREARMS,4339 U.S. 30,LATROBE,PA,15650,D,-1,(264) 139-5180,"http://maps.google.com/maps?q=40.28374448,-79.42569417",{DC402D97-2907-42C5-A6A6-CDCD859B0EA1},21385
POINT (-78.720340011917 40.870649980348),-78.72034001,40.87064998,,5593,ARROW HARDWARE AND SUPPLY,113 E MAIN ST,MAHAFFEY,PA,15757,D,-1,(280) 797-9488,"http://maps.google.com/maps?q=40.87064998,-78.72034001",{62838392-BD25-4DCC-98D7-22F74A673BD0},21409
POINT (-78.945827819319 40.344589912344),-78.94582782,40.34458991,,5600,PLETCHERS HUNTING AND FISHING SUPPLIES,178 FAIRFIELD AVE,JOHNSTOWN,PA,15906-2345,D,-1,(709) 514-5615,"http://maps.google.com/maps?q=40.34458991,-78.94582782",{4ADEF921-7161-4061-B143-5BF0362D196C},21432
POINT (-78.833476513084 40.237150722922),-78.83347651,40.23715072,,5573,LONGWALL RIFLES,1204 GRAHAM AVE,WINDBAR,PA,15963,D,-1,(282) 091-8940,"http://maps.google.com/maps?q=40.23715072,-78.83347651",{A506F09D-DCE1-4F87-9C3F-5FBD5241504F},21383
POINT (-80.30767447995 40.96595358582),-80.30767448,40.96595359,1220,2190,T M HDWR RNTL NEW CASTLE,2650 ELLWOOD RD,NEW CASTLE,PA,16101,D,-1,(705) 309-2375,"http://maps.google.com/maps?q=40.96595359,-80.30767448",{A6D92B16-A5FB-4E7E-97FD-902DB131BE54},16923
POINT (-80.368633872161 41.800211991573),-80.36863387,41.80021199,,5581,LGH OUTDOORS,104 SOUTH MAIN ST,SPRINGBORO,PA,16435,D,-1,(465) 045-6822,"http://maps.google.com/maps?q=41.80021199,-80.36863387",{D996AC68-2E3C-4EC6-8E18-ECAF29D32B28},21382
POINT (-80.000421446755 42.089258309011),-80.00042145,42.08925831,,5580,HAMMAN NOTARY SERVICE,8215 WATTSBURG ROAD,ERIE,PA,16509,D,-1,(456) 430-0994,"http://maps.google.com/maps?q=42.08925831,-80.00042145",{5FA46C78-7F92-48D7-9ADF-3DEFCB49206C},21380
