the_geom,Longitude,Latitude,Agent Key,key,Name,Address,City,State,Zip,Outlet Type,Status,Phone,Directions,GlobalID,ObjectID
POINT (-76.791344542483 40.328389744216),-76.79134454,40.32838974,,"5,661",HORNUNGS ACE HARDWARE,6005 Blue Bird Avenue,Harrisburg,PA,17112,G,-1,7175451222,"https://www.google.com/maps/dir//40.32838974,-76.79134454/",{28B0BC99-BA2B-4ED8-AA65-4331487AF989},"23,639"
POINT (-78.720715211262 40.870051574995),-78.72071521,40.87005157,,"5,660",MAHAFFEY PIT STOP,113 E Main Street,Mahaffey,PA,15757,G,-1,8142776660,"https://www.google.com/maps/dir//40.87005157,-78.72071521/",{267135C6-10C9-4F69-BBE4-8E8FF4BA86F6},"23,640"
POINT (-78.336277350515 40.604875234625),-78.33627735,40.60487523,,"5,665","DARK ALLEY ARMS, LLC","623 N 5TH St, Rear",Bellwood,PA,16617,G,-1,8143273432,"https://www.google.com/maps/dir//40.60487523,-78.33627735/",{C2A5444F-030B-4FEC-8ADB-217C0C732DD0},"23,641"
POINT (-79.75625850003 40.599926999961),-79.7562585,40.599927,87,537,ALLEGHENY BAIT AND TACKLE,200 ROSS ST,TARENTUM,PA,15084,F,-1,1022442312,"http://maps.google.com/maps?q=40.599927,-79.7562585",{EF42DA78-B913-43C7-BF4C-08D402DF4728},"16,815"
POINT (-80.236765056598 42.077182230883),-80.23676506,42.07718223,67,64,PFBC WALNUT CREEK ACCESS,241 MANCHESTER ROAD,FAIRVIEW,PA,16415,F,-1,1111651441,"http://maps.google.com/maps?q=42.07718223,-80.23676506",{973F5D10-E02D-4696-AD9F-B07AB547658C},"16,892"
POINT (-78.888273723856 41.087002273979),-78.88827372,41.08700227,"1,325","2,195",A AND L LIL BAIT SHOP,345 BRADFORD ST,REYNOLDSVILLE,PA,15851,F,-1,1255541066,"http://maps.google.com/maps?q=41.08700227,-78.88827372",{71048D96-982B-4388-B52E-1F9D9FB01109},"16,810"
POINT (-75.23935994869 41.229019581685),-75.23935995,41.22901958,787,"1,146",SKYTOP LODGE,1 SKYTOP LODGE RD,SKYTOP,PA,18357,F,-1,1255727527,"http://maps.google.com/maps?q=41.22901958,-75.23935995",{61CD560C-3813-42C5-A800-152CDED9DB62},"16,909"
POINT (-75.311659273298 40.017454518889),-75.31165927,40.01745452,641,"1,202",TCO FLY SHOP MAIN LINE,895 PENN STREET,BRYN MAWR,PA,19010,F,-1,1460931522,"http://maps.google.com/maps?q=40.01745452,-75.31165927",{D19758E7-C448-4390-B769-024205B6A43D},"16,926"
POINT (-76.318586999981 40.210047000025),-76.318587,40.210047,47,516,PFBC SOUTHEAST REGION,255 W BRUBAKER VALLEY RD,LITITZ,PA,17543,F,-1,1593390329,"http://maps.google.com/maps?q=40.210047,-76.318587",{7DBE163F-C5AB-4E7A-B1CD-407DC60954B2},"16,888"
POINT (-80.30767447995 40.96595358582),-80.30767448,40.96595359,"1,220","2,190",T M HDWR RNTL NEW CASTLE,2650 ELLWOOD RD,NEW CASTLE,PA,16101,D,-1,1595295265,"http://maps.google.com/maps?q=40.96595359,-80.30767448",{A6D92B16-A5FB-4E7E-97FD-902DB131BE54},"16,923"
POINT (-77.127683632189 40.150068088689),-77.12768363,40.15006809,641,"2,063",TCO FLY SHOP,2 E 1ST ST,BOILING SPGS,PA,17007,F,-1,1625367326,"http://maps.google.com/maps?q=40.15006809,-77.12768363",{5302AD01-3785-49F7-904D-7ABAF437CAD8},"16,929"
POINT (-77.511782378916 40.338324432192),-77.51178238,40.33832443,,,Blain Market,31 East Main Street,Blain,PA,17006,G,-1,1648342804,"https://www.google.com/maps/dir//40.33832443,-77.51178238/",{3D743A75-8071-4D2B-83AC-75D582D4996B},"23,657"
POINT (-76.694389011847 39.823197435186),-76.69438901,39.82319744,,"5,654",FREEDOM ARMORY,10598 Second Amendment Drive,Glen Rock,PA,17327,G,-1,1701978239,"https://www.google.com/maps/dir//39.82319744,-76.69438901/",{FBA65BB7-1669-4ADD-ABFC-A1B94318404D},"23,632"
POINT (-78.583839089287 41.201655422752),-78.58383909,41.20165542,"1,258","2,107",FEATHERMAN CREATIONS,11484 BENNETTS VALLEY HWY,PENFIELD,PA,15849,F,-1,1763260851,"http://maps.google.com/maps?q=41.20165542,-78.58383909",{E960A6E5-1670-42E5-8B97-1AEB835EAD01},"16,843"
POINT (-79.4363607782 40.12813435929),-79.43636078,40.12813436,536,"1,095",REDS BAIT SHOP,2907 STATE ROUTE 31,ACME,PA,15610,F,-1,1800183151,"http://maps.google.com/maps?q=40.12813436,-79.43636078",{5D3471AE-A304-4C34-87E1-4F482F45BB46},"16,906"
POINT (-75.970592999793 40.954338000234),-75.970593,40.954338,106,557,BARRYS LIVE BAIT,139 E GREEN ST,HAZLETON,PA,18201,F,-1,1922877183,"http://maps.google.com/maps?q=40.954338,-75.970593",{88733090-5569-4B8E-A660-D247AEB46A45},"16,823"
POINT (-75.438012686341 40.592122210141),-75.43801269,40.59212221,672,"1,237",TOMS AUTO TAG NOTARY SRVCS,729 E SUSQUEHANNA STREET,ALLENTOWN,PA,18103,F,-1,1930093945,"http://maps.google.com/maps?q=40.59212221,-75.43801269",{B5458209-46A7-457F-8EA5-BB1872CC3C9B},"16,931"
POINT (-74.964753259581 40.082421203736),-74.96475326,40.0824212,50,245,WAL MART 2650,4301 BYBERRY RD,PHILADELPHIA,PA,19154,D,-1,2152813159,"http://maps.google.com/maps?q=40.0824212,-74.96475326",{31722C41-CD58-4D18-98FD-1A90C13CAC44},"16,241"
POINT (-75.099604245631 40.031545526507),-75.09960425,40.03154553,50,267,WAL MART 5103,4600 E ROOSEVELT BLVD BLDG G,PHILADELPHIA,PA,19124,D,-1,2152880700,"http://maps.google.com/maps?q=40.03154553,-75.09960425",{BA3A825C-71D8-4C54-8887-C91EBC9B6D65},"16,242"
POINT (-75.14690450691 39.928218889262),-75.14690451,39.92821889,949,"1,733",FIRING LINE INC,1532 S FRONT ST,PHILADELPHIA,PA,19147,G,-1,2153361710,"http://maps.google.com/maps?q=39.92821889,-75.14690451",{2AEE7944-D4E2-4640-A727-5B437B5E55D8},"16,620"
POINT (-75.087788145947 40.256998885778),-75.08778815,40.25699889,639,"5,562",TANNER SPORTS CENTER,2301 YORK RD,JAMISON,PA,18929,D,-1,2153433103,"http://maps.google.com/maps?q=40.25699889,-75.08778815",{44722A15-E709-4D33-B83D-F5584F9957DB},"16,493"
POINT (-75.129990508413 40.311501336125),-75.12999051,40.31150134,158,625,BUCKS COUNTY TREASURER,55 E COURT ST,DOYLESTOWN,PA,18901,D,-1,2153486244,"http://maps.google.com/maps?q=40.31150134,-75.12999051",{2F8FF442-7AF4-48C8-8017-07FB0877C9E1},"16,327"
POINT (-75.242008208199 40.234087260886),-75.24200821,40.23408726,697,"1,639",DICKS SPORTING GOODS 341,113 MONTGOMERY MALL,NORTH WALES,PA,19454,D,-1,2153682186,"http://maps.google.com/maps?q=40.23408726,-75.24200821",{C9E39143-2662-473D-A9BE-96539A30938D},"16,525"
POINT (-75.079913307554 40.195384085717),-75.07991331,40.19538409,50,173,WAL MART 2096,100 E STREET RD,WARMINSTER,PA,18974,D,-1,2154425671,"http://maps.google.com/maps?q=40.19538409,-75.07991331",{CB423CD8-542D-439B-A868-E7FA86A22D86},"16,293"
POINT (-75.144738648099 39.926618744893),-75.14473865,39.92661874,50,177,WAL MART 2141,1675 S COLUMBUS BLVD,PHILADELPHIA,PA,19148,D,-1,2154684220,"http://maps.google.com/maps?q=39.92661874,-75.14473865",{84B07EBE-9F92-4784-9F7A-DF51D3CEA61A},"16,240"
POINT (-75.131566434594 40.217210167273),-75.13156643,40.21721017,50,"2,054",WAL MART 5649,299 VALLEY GATE DR,WARRINGTON,PA,18976,D,-1,2154889026,"http://maps.google.com/maps?q=40.21721017,-75.13156643",{EAAC6197-FAEE-406B-9710-22A13ED953D1},"16,729"
POINT (-75.395558719239 40.285196174295),-75.39555872,40.28519617,50,191,WAL MART 2236,651 MAIN ST,HARLEYSVILLE,PA,19438,D,-1,2155130205,"http://maps.google.com/maps?q=40.28519617,-75.39555872",{F59EDC3A-A475-4B79-A879-54C1055BF88A},"16,206"
POINT (-75.378231766103 40.486852560673),-75.37823177,40.48685256,"1,108","1,921",DONLEYS GUN SHOP,1541 N WEST END BLVD,QUAKERTOWN,PA,18951,G,-1,2155296578,"http://maps.google.com/maps?q=40.48685256,-75.37823177",{DA24BA10-0D63-4DE4-9775-FD7072793E28},"16,672"
POINT (-75.35967534184 40.445888164977),-75.35967534,40.44588816,50,217,WAL MART 2446,195 NORTH WEST END BLVD,QUAKERTOWN,PA,18951,D,-1,2155297689,"http://maps.google.com/maps?q=40.44588816,-75.35967534",{63F0DA2C-6F9B-4429-B813-E38E5F9AF291},"16,248"
POINT (-75.368556323894 40.460058525295),-75.36855632,40.46005853,,,AAA EAST CENTRAL QUAKERTOWN,632 N WEST END BLVD,QUAKERTOWN,PA,18951-4100,F,-1,2155385150,"http://maps.google.com/maps?q=40.46005853,-75.36855632",{41E09C8D-79E4-41A9-A253-7C755DF4361C},"20,704"
POINT (-75.120697242763 40.143493261887),-75.12069724,40.14349326,697,722,DICKS SPORTING GOODS 98,2510 MORELAND ROAD,WILLOW GROVE,PA,19090,D,-1,2156578977,"http://maps.google.com/maps?q=40.14349326,-75.12069724",{17E2FF9A-8890-42EA-A505-C1BE9A538A72},"16,540"
POINT (-75.140819011053 40.159098212801),-75.14081901,40.15909821,50,113,WAL MART 3564,2101 BLAIR MILL ROAD,WILLOW GROVE,PA,19090,D,-1,2156721300,"http://maps.google.com/maps?q=40.15909821,-75.14081901",{29F4DC1B-9121-460E-B705-5B97E6CE356A},"16,300"
POINT (-75.134552299851 40.187867521182),-75.1345523,40.18786752,186,666,CLAYTONS RANGE,660 EASTON RD,HORSHAM,PA,19044,D,-1,2156726060,"http://maps.google.com/maps?q=40.18786752,-75.1345523",{42FA267F-956F-4DB2-8BB3-87D9EB246D3C},"16,343"
